2026-02-08 00:50:30,399 | INFO | dataset_split.dataset_splitter | cheesecake → Train=200, Val=50, Test=10
2026-02-08 00:50:30,776 | INFO | dataset_split.dataset_splitter | chicken_curry → Train=200, Val=50, Test=10
2026-02-08 00:50:31,352 | INFO | dataset_split.dataset_splitter | chole_bhature → Train=200, Val=50, Test=10
2026-02-08 00:50:31,725 | INFO | dataset_split.dataset_splitter | Crispy Chicken → Train=200, Val=50, Test=10
2026-02-08 00:50:32,211 | INFO | dataset_split.dataset_splitter | dal_makhani → Train=200, Val=50, Test=10
2026-02-08 00:50:32,740 | INFO | dataset_split.dataset_splitter | dhokla → Train=200, Val=50, Test=10
2026-02-08 00:50:33,144 | INFO | dataset_split.dataset_splitter | Donut → Train=200, Val=50, Test=10
2026-02-08 00:50:33,947 | INFO | dataset_split.dataset_splitter | fried_rice → Train=200, Val=50, Test=10
2026-02-08 00:50:34,347 | INFO | dataset_split.dataset_splitter | Fries → Train=200, Val=50, Test=10
2026-02-08 00:50:34,818 | INFO | dataset_split.dataset_splitter | Hot Dog → Train=200, Val=50, Test=10
2026-02-08 00:50:35,182 | INFO | dataset_split.dataset_splitter | ice_cream → Train=200, Val=50, Test=10
2026-02-08 00:50:35,656 | INFO | dataset_split.dataset_splitter | idli → Train=200, Val=50, Test=10
2026-02-08 00:50:36,066 | INFO | dataset_split.dataset_splitter | jalebi → Train=200, Val=50, Test=10
2026-02-08 00:50:36,544 | INFO | dataset_split.dataset_splitter | kaathi_rolls → Train=200, Val=50, Test=10
2026-02-08 00:50:37,054 | INFO | dataset_split.dataset_splitter | kadai_paneer → Train=200, Val=50, Test=10
2026-02-08 00:50:37,687 | INFO | dataset_split.dataset_splitter | kulfi → Train=200, Val=50, Test=10
2026-02-08 00:50:38,291 | INFO | dataset_split.dataset_splitter | masala_dosa → Train=200, Val=50, Test=10
2026-02-08 00:50:38,866 | INFO | dataset_split.dataset_splitter | momos → Train=200, Val=50, Test=10
2026-02-08 00:50:39,229 | INFO | dataset_split.dataset_splitter | omelette → Train=200, Val=50, Test=10
2026-02-08 00:50:39,717 | INFO | dataset_split.dataset_splitter | paani_puri → Train=200, Val=50, Test=10
2026-02-08 00:50:40,099 | INFO | dataset_split.dataset_splitter | pakode → Train=200, Val=50, Test=10
2026-02-08 00:50:40,607 | INFO | dataset_split.dataset_splitter | pav_bhaji → Train=200, Val=50, Test=10
2026-02-08 00:50:41,415 | INFO | dataset_split.dataset_splitter | pizza → Train=200, Val=50, Test=10
2026-02-08 00:50:42,000 | INFO | dataset_split.dataset_splitter | samosa → Train=200, Val=50, Test=10
2026-02-08 00:50:42,351 | INFO | dataset_split.dataset_splitter | Sandwich → Train=200, Val=50, Test=10
2026-02-08 00:50:42,780 | INFO | dataset_split.dataset_splitter | sushi → Train=200, Val=50, Test=10
2026-02-08 00:50:43,157 | INFO | dataset_split.dataset_splitter | Taco → Train=200, Val=50, Test=10
2026-02-08 00:50:43,526 | INFO | dataset_split.dataset_splitter | Taquito → Train=200, Val=50, Test=10
2026-02-08 00:50:43,526 | INFO | dataset_split.dataset_splitter | Dataset split completed successfully
2026-02-08 00:50:43,526 | INFO | dataset_split.dataset_splitter | Total classes in train: 34
2026-02-08 00:50:43,527 | INFO | dataset_split.dataset_splitter | Total classes in val: 34
2026-02-08 00:50:43,527 | INFO | dataset_split.dataset_splitter | Total classes in test: 34
2026-02-08 00:51:27,922 | INFO | dataset_split.dataset_splitter | Dataset splitting started
2026-02-08 00:51:27,923 | INFO | dataset_split.dataset_splitter | Created directory: data_split\train
2026-02-08 00:51:27,924 | INFO | dataset_split.dataset_splitter | Created directory: data_split\val
2026-02-08 00:51:27,924 | INFO | dataset_split.dataset_splitter | Created directory: data_split\test
2026-02-08 00:51:28,277 | INFO | dataset_split.dataset_splitter | apple_pie → Train=200, Val=50, Test=10
2026-02-08 00:51:28,632 | INFO | dataset_split.dataset_splitter | Baked Potato → Train=200, Val=50, Test=10
2026-02-08 00:51:29,243 | INFO | dataset_split.dataset_splitter | burger → Train=200, Val=50, Test=10
2026-02-08 00:51:29,673 | INFO | dataset_split.dataset_splitter | butter_naan → Train=200, Val=50, Test=10
2026-02-08 00:51:30,303 | INFO | dataset_split.dataset_splitter | chai → Train=200, Val=50, Test=10
2026-02-08 00:51:31,009 | INFO | dataset_split.dataset_splitter | chapati → Train=200, Val=50, Test=10
2026-02-08 00:51:31,359 | INFO | dataset_split.dataset_splitter | cheesecake → Train=200, Val=50, Test=10
2026-02-08 00:51:31,710 | INFO | dataset_split.dataset_splitter | chicken_curry → Train=200, Val=50, Test=10
2026-02-08 00:51:32,304 | INFO | dataset_split.dataset_splitter | chole_bhature → Train=200, Val=50, Test=10
2026-02-08 00:51:32,666 | INFO | dataset_split.dataset_splitter | Crispy Chicken → Train=200, Val=50, Test=10
2026-02-08 00:51:33,135 | INFO | dataset_split.dataset_splitter | dal_makhani → Train=200, Val=50, Test=10
2026-02-08 00:51:33,637 | INFO | dataset_split.dataset_splitter | dhokla → Train=200, Val=50, Test=10
2026-02-08 00:51:34,000 | INFO | dataset_split.dataset_splitter | Donut → Train=200, Val=50, Test=10
2026-02-08 00:51:34,939 | INFO | dataset_split.dataset_splitter | fried_rice → Train=200, Val=50, Test=10
2026-02-08 00:51:35,287 | INFO | dataset_split.dataset_splitter | Fries → Train=200, Val=50, Test=10
2026-02-08 00:51:35,701 | INFO | dataset_split.dataset_splitter | Hot Dog → Train=200, Val=50, Test=10
2026-02-08 00:51:36,054 | INFO | dataset_split.dataset_splitter | ice_cream → Train=200, Val=50, Test=10
2026-02-08 00:51:36,502 | INFO | dataset_split.dataset_splitter | idli → Train=200, Val=50, Test=10
2026-02-08 00:51:36,893 | INFO | dataset_split.dataset_splitter | jalebi → Train=200, Val=50, Test=10
2026-02-08 00:51:37,419 | INFO | dataset_split.dataset_splitter | kaathi_rolls → Train=200, Val=50, Test=10
2026-02-08 00:51:37,903 | INFO | dataset_split.dataset_splitter | kadai_paneer → Train=200, Val=50, Test=10
2026-02-08 00:51:38,541 | INFO | dataset_split.dataset_splitter | kulfi → Train=200, Val=50, Test=10
2026-02-08 00:51:39,262 | INFO | dataset_split.dataset_splitter | masala_dosa → Train=200, Val=50, Test=10
2026-02-08 00:51:39,741 | INFO | dataset_split.dataset_splitter | momos → Train=200, Val=50, Test=10
2026-02-08 00:51:40,099 | INFO | dataset_split.dataset_splitter | omelette → Train=200, Val=50, Test=10
2026-02-08 00:51:40,571 | INFO | dataset_split.dataset_splitter | paani_puri → Train=200, Val=50, Test=10
2026-02-08 00:51:40,948 | INFO | dataset_split.dataset_splitter | pakode → Train=200, Val=50, Test=10
2026-02-08 00:51:41,579 | INFO | dataset_split.dataset_splitter | pav_bhaji → Train=200, Val=50, Test=10
